Aufgabe;MaxVelocity;MedianVelocity;VelocityUnits;PeakVelocityPercent
gewicht;0.515349635854326;0.179381147158344;m/s;37.36654804270463
greifen;0.48538298943181957;0.17225893465772135;m/s;55.79514824797843
kreis;0.2860293368484199;0.1652356703735432;m/s;29.86577181208054
präzision;0.418387700863433;0.16769973780903374;m/s;15.530303030303028
ptp2;0.7417974128125298;0.4296271808395651;m/s;53.79310344827587
ptp3;0.6384336369200607;0.4144522625542313;m/s;52.27272727272727
ptp;0.3491469847235965;0.26320238138323526;m/s;37.755102040816325
sequentiell;0.5487506220029821;0.24212705606892193;m/s;74.0
zikzak;0.37347206931728016;0.2165088760517129;m/s;7.9831932773109235
